Name - gender, age, race/ethnicity, religion, political affiliation
1. Alex Johnson, Male, 36, Black, Protestant, Independent
2. Olivia Martinez, Female, 22, Latino, Catholic, Liberal
3. Ethan Thompson, Male, 29, White, unreligious, Moderate
4. Maya Nguyen, Female, 25, Asian, Buddhist, Liberal
5. Samuel Davis, Male, 42, White, Protestant, Conservative
6. Gabriela Hernandez, Female, 31, Latino, Catholic, Liberal
7. Daniel Lee, Male, 19, Asian, Protestant, Independent
8. Sophia Clark, Female, 27, White, unreligious, Independent
9. Jackson Mitchell, Male, 45, Black, Protestant, Conservative
10. Isabella Rodriguez, Female, 28, Latino, Catholic, Liberal
11. David Kim, Male, 32, Asian, unreligious, Moderate
12. Mia Thompson, Female, 21, White, Protestant, Liberal
13. Jacob Ramirez, Male, 34, Latino, Catholic, Conservative
14. Ava Patel, Female, 24, Asian, Hindu, Liberal
15. Matthew Foster, Male, 48, White, Protestant, Conservative
16. Sofia Silva, Female, 33, Latino, Catholic, Liberal
17. Lucas Chen, Male, 26, Asian, Buddhist, Moderate
18. Amelia Wright, Female, 23, White, unreligious, Independent
19. Elijah Scott, Male, 37, Black, Protestant, Conservative
20. Camila Gonzalez, Female, 30, Latino, Catholic, Liberal
21. Joshua Wu, Male, 20, Asian, unreligious, Liberal
22. Harper Baker, Female, 42, White, Protestant, Conservative
23. Michael Roberts, Male, 33, Black, Protestant, Moderate
24. Penelope Lopez, Female, 29, Latino, Catholic, Liberal
25. Matthew Nguyen, Male, 18, Asian, Buddhist, Independent
26. Charlotte Thompson, Female, 26, White, Protestant, Liberal
27. Noah Hill, Male, 43, Black, Protestant, Conservative
28. Valentina Torres, Female, 32, Latino, Catholic, Liberal
29. Daniel Kim, Male, 21, Asian, Protestant, Independent
30. Grace Mitchell, Female, 20, White, unreligious, Liberal
31. Benjamin Hernandez, Male, 39, Latino, Catholic, Conservative
32. Luna Patel, Female, 25, Asian, Hindu, Liberal
33. Christopher Turner, Male, 47, White, Protestant, Conservative
34. Victoria Smith, Female, 35, Black, Protestant, Liberal
35. Ryan Martinez, Male, 24, Latino, Catholic, Moderate
36. Harper Johnson, Female, 22, White, unreligious, Independent
37. Elijah Davis, Male, 44, Black, Protestant, Conservative
38. Penelope Rodriguez, Female, 31, Latino, Catholic, Liberal
39. Andrew Chen, Male, 23, Asian, Buddhist, Moderate
40. Mia Wilson, Female, 28, White, Protestant, Liberal
41. Alexander Clark, Male, 36, Black, Protestant, Conservative
