Name - gender, age, race/ethnicity, religion, political affiliation
1. Sarah Johnson - Woman, 28, Black, Christian, Liberal
2. Alejandro Ramirez - Man, 42, Latino, Catholic, Conservative
3. Emily Chen - Woman, 20, Asian, Buddhist, Liberal
4. James Thompson - Man, 55, White, Protestant, Conservative
5. Aisha Ahmed - Woman, 30, Muslim, Liberal, Independent
6. Maria Santos - Woman, 45, Latino, Catholic, Moderate
7. David Lee - Man, 32, Asian, Unreligious, Independent
8. Jasmine White - Woman, 23, Black, Protestant, Liberal
9. Mohammad Khan - Man, 40, Asian, Muslim, Conservative
10. Sophia Rodriguez - Woman, 33, Latino, Catholic, Liberal
11. Ethan Davis - Man, 28, White, Protestant, Moderate
12. Ashley Taylor - Nonbinary, 35, White, Unreligious, Independent
13. Raj Patel - Man, 41, Asian, Hindu, Conservative
14. Olivia Johnson - Woman, 22, Black, Christian, Liberal
15. Carlos Gonzalez - Man, 48, Latino, Catholic, Conservative
16. Mei Chen - Woman, 25, Asian, Buddhist, Liberal
17. Michael Thompson - Man, 50, White, Protestant, Conservative
18. Fatima Ahmed - Woman, 32, Muslim, Liberal, Independent
19. Isabella Santos - Woman, 40, Latino, Catholic, Moderate
20. Daniel Lee - Man, 37, Asian, Unreligious, Independent
21. Grace White - Woman, 29, Black, Protestant, Liberal
22. Ahmed Mahmoud - Man, 33, Middle Eastern, Muslim, Conservative
23. Sofia Fernandez - Woman, 45, Latino, Catholic, Liberal
24. Benjamin Davis - Man, 30, White, Protestant, Moderate
25. Tyler Taylor - Nonbinary, 26, White, Unreligious, Independent
26. Priya Patel - Woman, 36, Asian, Hindu, Conservative
27. Ava Wilson - Woman, 24, Black, Christian, Liberal
28. Javier Lopez - Man, 55, Latino, Catholic, Conservative
29. Hiroshi Tanaka - Man, 40, Asian, Buddhist, Liberal
30. Elizabeth Thompson - Woman, 53, White, Protestant, Conservative
31. Ahmed Mohammed - Man, 38, Middle Eastern, Muslim, Independent
32. Mia Gonzalez - Woman, 27, Latino, Catholic, Liberal
33. Jacob Kim - Man, 46, Asian, Unreligious, Moderate
34. Chloe Lewis - Woman, 32, Black, Protestant, Liberal
35. Salma Ali - Woman, 29, Middle Eastern, Muslim, Liberal
36. Felipe Silva - Man, 44, Latino, Catholic, Conservative
37. Liam Johnson - Man, 34, White, Protestant, Conservative
38. Emily Davis - Woman, 30, Asian, Unreligious, Independent
39. Olivia Adams - Woman, 25, Black, Christian, Liberal
40. Juan Martinez - Man, 51, Latino, Catholic, Conservative
41. Lin Chen - Man, 33, Asian, Buddhist, Liberal
42. Christopher Thompson - Man, 56, White, Protestant, Conservative
43. Lila Taylor - Nonbinary, 27, White, Unreligious, Independent
44. Ahmed Khan - Man, 40, Middle Eastern, Muslim, Conservative
